obs YER PCR GCR ITR XTR MTR YED PCD GCD ITD XTD MTD YFD YIN WIN GON TIN YFN HICP HEX HEG HICPSYA HEXSYA HEGSYA HEGWEI CAN_YEN NFN_YEN LFN LNN UNN URX LEN STN LTN COMPR POILU PCOMU YWD YWDX YWR YWRX LPROD ULC WRN SAX EEN EXR
1993Q1 1353765.45886608 776290.323120383 276931.652703865 295464.173134429 330130.408743269 315381.398005444 0.932137048 0.927361573 0.934688875 0.952195725 0.947827053 0.955991104 0.841764849 1261894.93803031 651440.980712271 488111.19672701 122342.760591027 1139552.17743928 91.620047209 91.681910523 92.028280139 NA NA 48.886666667 NA 0.006114748 -0.002923026 145339.330996018 131330.874393132 14008.456602887 0.096384485 109379.191514349 10.706122967 9.417175 31.599665595 18.1933 72.333419316 0.961113553 1.07050708 94.268305568 29223.912134099 10.30805182 0.481206679 4.960303384 0.172570382 1.397927211 0.839999215
1993Q2 1354769.63979528 776156.721591566 278406.539720345 290822.187625045 329287.481880014 314238.060686196 0.940611057 0.935316656 0.947245403 0.959753085 0.954833053 0.957628107 0.848993426 1274311.30328164 654627.428586342 495563.088731073 124120.785964225 1150190.51731742 92.45407738 92.534694231 92.665866544 NA NA 49.233333333 NA 0.010379896 -0.000207291 145448.197869193 130742.210680029 14705.987189163 0.101108074 108892.374532154 9.091223936 8.9926 31.56522547 18.2433 71.840134993 0.965879976 1.082289762 94.409570251 29221.415466843 10.362144198 0.483202021 5.007009023 0.172823265 1.363111698 0.828606611
1993Q3 1360386.67156382 778661.511326378 278706.121021016 291222.079993543 333837.359922743 316759.398142187 0.946936938 0.94327384 0.950099143 0.963969662 0.96400962 0.967640217 0.853615108 1288200.38929159 654367.346611988 506879.269060228 126953.773619377 1161246.61567222 93.052693083 93.115676197 93.384236892 NA NA 49.613333333 NA 0.010973969 -0.000913385 145640.5455992 130407.207512391 15233.338086809 0.104595448 108546.23044432 8.120099873 7.977857 30.086820465 16.4867 74.172024519 0.972756744 1.107035917 94.691806621 29310.24440758 10.431836534 0.4810157 5.017877149 0.167803497 1.378199979 0.869361641
1993Q4 1363948.95497023 783046.762796472 279391.150613018 288404.272962286 343029.120739047 319549.476433748 0.954582419 0.952031063 0.95471577 0.967439998 0.965757338 0.967231568 0.860103438 1302001.69219633 656580.82652927 516556.359547158 128864.506119905 1173137.18607643 93.519852352 93.63031602 93.505259145 NA NA 49.676666667 NA 0.021768392 0.004714229 145976.912727231 130244.522268043 15732.390459188 0.107773141 108366.042017986 7.412128577 7.309124 28.4488469 15.0667 73.813272284 0.975874319 1.10946012 95.585023422 29391.888589097 10.47221742 0.481382257 5.041139659 0.162342383 1.342733971 0.877188912
1994Q1 1376587.52391432 783639.19488821 281441.606794161 291349.734044296 352025.629496583 327575.711547476 0.959944289 0.96062792 0.960267178 0.973197337 0.965959939 0.976439144 0.861944381 1321447.33144667 659256.538829556 527285.34287386 134905.449743258 1186541.88170342 94.418657119 94.404153431 95.300416784 NA NA 50.633333333 NA 0.013928968 -0.001345881 146151.137333384 130136.422204364 16014.71512902 0.109576398 108275.221566358 6.84 6.973333 27.812758929 13.95 78.297675217 0.979427264 1.110476222 96.497391852 29661.415144298 10.578034194 0.478906373 5.065887994 0.161756863 1.294843244 0.888731456
1994Q2 1385161.28724013 785896.673185197 281166.531100397 296073.848175858 360493.140820314 337046.626780408 0.966380024 0.967647865 0.9616164 0.976712991 0.969697923 0.976770015 0.868513269 1338592.1974056 664254.555669768 538776.402071677 135561.239664151 1203030.95774144 95.0868356 95.137913629 95.832093198 NA NA 50.91 NA 0.013406878 -0.001797462 146241.630987811 130104.313274558 16137.317713253 0.110346948 108342.080822123 6.37 7.86 31.14243612 16.05 84.17224306 0.980651554 1.104945298 97.354233581 29903.089878516 10.646543934 0.479550332 5.105553682 0.153586166 1.221218644 0.859513915
1994Q3 1394489.36566998 791608.75030917 281377.785625523 299249.051300887 366312.132437893 347391.098324954 0.973271499 0.974868287 0.967020149 0.980993956 0.972931898 0.976932837 0.874590768 1357216.75500449 670060.468276935 549547.056696165 137609.230031388 1219607.5249731 95.617723364 95.703896627 96.016524406 NA NA 51.006666667 NA 0.012864324 0.000324701 146317.923508397 130342.98965278 15974.933855618 0.10917961 108602.099303172 6.383334 8.73 33.520478251 16.7667 94.755433983 0.982730124 1.094785978 98.107150677 30177.519878375 10.698614244 0.480505972 5.140748038 0.154370552 1.161950138 0.815105993
1994Q4 1405553.63670177 795216.338167699 283247.088899058 306642.037230275 377197.744803513 358973.374624903 0.981331886 0.98177695 0.97561102 0.986060284 0.981964648 0.986066477 0.882925887 1379314.60152066 677862.110717863 563137.580873999 138314.909928794 1240999.69159186 96.01969761 96.162115672 95.629248087 NA NA 50.803333333 NA 0.016118695 0.004211883 146571.868379165 130567.752161419 16004.116217747 0.109189549 108837.74539651 6.506667 9.139999 33.992603405 16.5367 100.181561532 0.989136051 1.103116907 98.837359046 30445.099991524 10.76493708 0.482274097 5.191650308 0.156584174 1.146873294 0.806317455
1995Q1 1413188.46558577 798732.565307796 279503.419294768 302419.209507869 389872.845214988 364028.155158421 0.987496916 0.989503429 0.987833021 0.991958091 0.99230288 0.998840662 0.889147661 1395519.25188108 682041.129501504 574492.088745241 138986.033634337 1256533.21824674 96.851892953 97.020622185 96.373674635 NA NA 51.203333333 NA 0.018054612 0.001382808 146500.743160267 130574.17394738 15926.569212887 0.108713232 108916.22434037 6.943333 9.32 34.870465158 16.9033 103.320643586 0.993527618 1.104511619 99.096405474 30449.371259371 10.82287885 0.48262574 5.223399918 0.157701393 1.109359612 0.78536314
1995Q2 1421596.68897303 807938.890569606 281894.386513776 305282.63381585 395068.297803843 370434.704518351 0.996481161 0.995648469 0.996215017 0.998753149 0.996937478 1.000857663 0.895925312 1416594.31879726 690172.741634753 583471.715552346 142949.861610156 1273644.4571871 97.650893034 97.73086906 97.390049564 NA NA 51.743333333 NA 0.0202559 0.003944964 146613.324129218 130803.18679849 15810.137330728 0.107835611 109071.94812214 7.136667 8.93 36.179002371 18.1367 101.930478676 0.997169532 1.095231769 99.512285377 30657.726250364 10.868211423 0.485491242 5.276421458 0.155628047 1.083041301 0.751309529
